# Paldeck (Zukan) numbers, keyed by internal CharacterID.
#
# WHY THIS FILE EXISTS
# Palworld's `DT_PalMonsterParameter` holds `ZukanIndex`/`ZukanIndexSuffix`, but
# the pak ships with `PKG_UnversionedProperties` set, so numeric DataTable
# fields cannot be deserialized without a `.usmap` schema that does not exist
# for this build. Names, localized text, and textures are schema-free and ARE
# read from the user's own pak (see `reference.rs`); dex numbers are the one
# Paldeck-facing field that isn't. The implementation plan pre-agreed this
# fallback: reference numbers from an external dataset, everything else local.
#
# Confirmed non-recoverable from the pak before adding this file: no Zukan or
# Paldeck DataTable exists (`MainMenu/Paldex/` is UI widgets only), and the
# FName tables of both `DT_PalMonsterParameter` and `DT_PaldexDistributionData`
# are alphabetically sorted, so row order carries no ordering signal.
#
# PROVENANCE
# Numbers from evnja-io/palworld-copilot `packages/game-data/pals.json`
# (a CUE4Parse extraction of the same DataTable). Retrieved 2026-08-06.
# Variant suffixes are derived: within one index, the id without an `_` variant
# segment is the base and the other takes `B`. That rule was validated against
# blaynem/paldex's older `DT_PalMonsterParameter.json` dump, which carries real
# `ZukanIndexSuffix` values — 137 overlapping rows, zero suffix mismatches.
#
# VALIDATION AGAINST THIS GAME BUILD
# - All 288 ids resolve against the user's own pak; zero unknown ids.
# - The 34 pak species left unnumbered are all tower-boss pairs, Terraria-collab
#   raid content, or unused/dev entries (e.g. `VolcanoDragon_omit`) — no real
#   Paldeck species is missing a number.
# - Numbering independently cross-checked against paldb.cc by joining on the
#   pak's own English display names: 97 species compared, 97 agreed.
#   Note the game RENUMBERED its Paldeck after launch; launch-era dumps
#   (Foxparks 005, Sparkit 007) disagree and are stale. Do not "correct"
#   toward them.
#
# Regenerate after a game update that adds Pals, then re-run
# `dex_numbers_cover_every_real_species` in `tests/dex_numbers.rs`.
#
# Format: character_id <TAB> index <TAB> suffix ("" or "B")
ElecPomeranian	62	
FairyDragon	63	
FairyDragon_Water	63	B
BirdDragon	64	
BirdDragon_Ice	64	B
CatVampire	65	
VioletFairy	66	
SoldierBee	67	
QueenBee	68	
PinkLizard	69	
NaughtyCat	70	
PurpleSpider	71	
IceSeal	72	
IceSeal_Ground	72	B
LizardMan	73	
LizardMan_Fire	73	B
Gorilla	74	
Gorilla_Ground	74	B
Serpent	75	
Serpent_Ground	75	B
RobinHood	76	
RobinHood_Ground	76	B
FlowerRabbit	77	
FoxMage	78	
FoxMage_Dark	78	B
CatMage	79	
CatMage_Fire	79	B
HadesBird	80	
HadesBird_Electric	80	B
GrassMinotaur	81	
GrassMinotaur_Ice	81	B
Mutant	82	
FengyunDeeper	83	
FengyunDeeper_Electric	83	B
FlowerDinosaur	84	
FlowerDinosaur_Electric	84	B
Ronin	85	
Ronin_Dark	85	B
IceCrocodile	86	
GrassMammoth	87	
GrassMammoth_Ice	87	B
StuffedShark	88	
StuffedShark_Fire	88	B
FlowerDoll	89	
FlowerDoll_Fire	89	B
PandaGirl	90	
Baphomet	91	
Baphomet_Dark	91	B
RaijinDaughter	92	
RaijinDaughter_Water	92	B
FireKirin	93	
FireKirin_Dark	93	B
LazyDragon	94	
LazyDragon_Electric	94	B
IceFox	95	
ThunderBird	96	
ThunderBird_Ice	96	B
GhostAnglerfish	97	
GhostAnglerfish_Fire	97	B
ThunderDog	98	
ThunderDog_Ice	98	B
DarkScorpion	99	
DarkScorpion_Ground	99	B
CactusDoll	100	
CactusDoll_Dark	100	B
IceDeer	101	
GrassPanda	102	
GrassPanda_Electric	102	B
WeaselDragon	103	
WeaselDragon_Fire	103	B
RedArmorBird	104	
VolcanoDragon	105	
VolcanoDragon_Ice	105	B
TropicalOstrich	106	
DrillGame	107	
SakuraSaurus	108	
SakuraSaurus_Water	108	B
LazyCatfish	109	
LazyCatfish_Gold	109	B
Plesiosaur	110	
AmaterasuWolf	111	
AmaterasuWolf_Dark	111	B
Manticore	112	
Manticore_Dark	112	B
HerculesBeetle	113	
HerculesBeetle_Ground	113	B
SnowPeafowl	114	
DarkFlameFox	115	
WhiteMoth	116	
WhiteMoth_Neutral	116	B
GhostBeast	117	
MushroomDragon	118	
MushroomDragon_Dark	118	B
IceWitch	119	
MummyPal	120	
Umihebi	121	
Umihebi_Fire	121	B
Suzaku	122	
Suzaku_Water	122	B
FeatherOstrich	123	
SkyDragon	124	
SkyDragon_Grass	124	B
LeafPrincess	125	
SmallArmadillo	126	
GuardianDog	127	
SwordCutlassfish	128	
SwordCutlassfish_Fire	128	B
VolcanicMonster	129	
VolcanicMonster_Ice	129	B
NightBlueHorse	130	
NightBlueHorse_Neutral	130	B
RockBeast	131	
RockBeast_Ice	131	B
WhiteTiger	132	
WhiteTiger_Ground	132	B
SmallYeti	133	
Yeti	134	
Yeti_Grass	134	B
CandleGhost	135	
VenusFlytrap	136	
KingBahamut	137	
KingBahamut_Dragon	137	B
GrassGolem	138	
GrassGolem_Dark	138	B
Anubis	139	
Sekhmet	140	
ScorpionMan	141	
ScorpionMan_Electric	141	B
CubeTurtle	142	
CubeTurtle_Neutral	142	B
BadCatgirl	143	
MimicDog	144	
DarkAlien	145	
WhiteAlienDragon	146	
BlueberryFairy	147	
GhostRabbit	148	
GhostRabbit_Grass	148	B
BlackPuppy	149	
BlackPuppy_Ice	149	B
MysteryMask	150	
IceNarwhal	151	
IceNarwhal_Fire	151	B
GrassRabbitMan	152	
GrimGirl	153	
GoldenHorse	154	
SifuDog	155	
SumoDog	156	
WhiteDeer	157	
WhiteDeer_Dark	157	B
BlackMetalDragon	158	
WingGolem	159	
WingGolem_Fire	159	B
WhiteShieldDragon	160	
BlueThunderHorse	161	
LongCat	162	
ElecSnail	163	
ElecSnail_Ground	163	B
DandelionGirl	164	
BrownRabbit	165	
HoodGhost	166	
ElecLizard	167	
OniGhostGirl	168	
KingSunfish	169	
KingSunfish_Thunder	169	B
SleeveRabbit	170	
GhostDragon	171	
GhostDragon_Fire	171	B
ThunderFluffyBird	172	
RedFlowerBird	173	
FoxExorcist	174	
LotusDragon	175	
ClownRabbit	176	
ThiefBird	177	
SnakeGirl	178	
MushroomLady	179	
LanternButler	180	
MoonChild	181	
MonochromeQueen	182	
KabukiMan	183	
DomeArmorDragon	184	
ElecPanda	185	
LilyQueen	186	
LilyQueen_Dark	186	B
ThunderDragonMan	187	
Horus	188	
Horus_Water	188	B
BlackGriffon	189	
MoonQueen	190	
SnowTigerBeastman	191	
BlueSkyDragon	192	
Mothman	193	
FlowerPrince	194	
NightLady	195	
NightLady_Dark	195	B
DarkMechaDragon	196	
LegendDeer	197	
SaintCentaur	198	
BlackCentaur	199	
IceHorse	200	
IceHorse_Dark	200	B
PoseidonOrca	201	
JetDragon	202	
KingWhale	203	
WorldTreeDragon	204	
